distance,length,replicate,num_taxa,alpha,model,true_identity_mean,true_identity_min,true_identity_max,true_identity_std,true_gap_mean,true_aligned_length,mafft_identity_mean,mafft_identity_min,mafft_identity_max,mafft_identity_std,mafft_gap_mean,mafft_aligned_length,psa_identity_mean,psa_identity_min,psa_identity_max,psa_identity_std
0.1,100,73,32,1.0,LG+G4,0.8847225430841044,0.7448979591836735,1.0,0.050876911641432335,0.07535046728971961,107,0.8839144663243726,0.7448979591836735,1.0,0.049841475302338706,0.07535046728971961,107,0.8657243074385932,0.7551020408163265,0.97,0.05709504707157651
0.1,100,74,32,1.0,LG+G4,0.9049402245898013,0.8,1.0,0.045774702798820954,0.06839622641509434,106,0.9027419156197071,0.7878787878787878,1.0,0.046960398023968314,0.05048076923076923,104,0.9055570162668837,0.8,0.9896907216494846,0.056614849807997934
0.1,100,75,32,1.0,LG+G4,0.9339054781185989,0.5,1.0,0.04829116145457991,0.275297619047619,126,0.9306348590522682,0.8041237113402062,1.0,0.04245658724352965,0.2695,125,0.9256716261685121,0.8041237113402062,1.0,0.05458254593255672
0.1,100,76,32,1.0,LG+G4,0.9127083117147182,0.8191489361702128,1.0,0.04158020929571456,0.04035194174757281,103,0.9095966575917219,0.8085106382978723,1.0,0.044181694606570183,0.04035194174757281,103,0.9126385689456337,0.8297872340425532,0.98,0.04158886010591059
0.1,100,77,32,1.0,LG+G4,0.8835599505040845,0.6136363636363636,1.0,0.08133721953756215,0.09640330188679246,106,0.8835435338690042,0.6136363636363636,1.0,0.08135366748914169,0.08779761904761905,105,0.8648968951309361,0.7166666666666667,0.97,0.08944308542233222
0.1,100,78,32,1.0,LG+G4,0.8727264922719027,0.75,1.0,0.059801867553089354,0.24195544554455448,101,0.8727264922719027,0.75,1.0,0.059801867553089354,0.24195544554455448,101,0.8780300269370204,0.7866666666666666,0.9868421052631579,0.0536353230751789
0.1,100,79,32,1.0,LG+G4,0.9345817063956675,0.8214285714285714,1.0,0.035920409405361335,0.14121462264150944,106,0.9297156728168274,0.7857142857142857,1.0,0.03978054195728235,0.14121462264150944,106,0.9391233088980273,0.8928571428571429,0.9893617021276596,0.027037160530477007
0.1,100,80,32,1.0,LG+G4,0.9129776225417885,0.7922077922077922,1.0,0.041448751778687454,0.27420774647887325,142,0.8781344824364294,0.6774193548387096,1.0,0.07968399238731796,0.18204365079365079,126,0.9158332060786949,0.8125,0.9907407407407407,0.050753076263948586
0.1,100,81,32,1.0,LG+G4,0.9151629786308008,0.8163265306122449,1.0,0.03780896690152957,0.1551906779661017,118,0.9122143106015471,0.797979797979798,1.0,0.03914366953250666,0.14797008547008547,117,0.9177626606198036,0.8080808080808081,1.0,0.057510329412578436
0.1,100,82,32,1.0,LG+G4,0.9118368625561465,0.7777777777777778,1.0,0.04502876876076087,0.0798611111111111,108,0.9104221866277202,0.7777777777777778,1.0,0.045307269305982514,0.0798611111111111,108,0.9113992484819551,0.8061224489795918,0.9696969696969697,0.05013194535185336
0.1,100,83,32,1.0,LG+G4,0.91449778847213,0.8070175438596491,1.0,0.039925124139413286,0.2895541958041958,143,0.912887756473137,0.8070175438596491,1.0,0.040494382769719714,0.26910971223021585,139,0.9108035125649853,0.8421052631578947,0.98,0.03934227257142386
0.1,100,84,32,1.0,LG+G4,0.9119017519419498,0.788235294117647,1.0,0.04168032470187841,0.04186893203883495,103,0.9119017519419498,0.788235294117647,1.0,0.04168032470187841,0.04186893203883495,103,0.9109949494949495,0.8,0.98,0.047866944675621255
0.1,100,85,32,1.0,LG+G4,0.9408246945419081,0.851063829787234,1.0,0.028354216984395313,0.02375,100,0.9408246945419081,0.851063829787234,1.0,0.028354216984395313,0.02375,100,0.938168517709698,0.8829787234042553,0.96875,0.024161663260848378
0.1,100,86,32,1.0,LG+G4,0.9351539346541881,0.8617021276595744,1.0,0.029730008335948244,0.0121875,100,0.9333404778647364,0.8404255319148937,1.0,0.03144066250876874,0.0121875,100,0.9289316145143146,0.8877551020408163,0.9795918367346939,0.025205704514658034
0.1,100,87,32,1.0,LG+G4,0.9242316603745317,0.7959183673469388,1.0,0.039212323186935225,0.07291666666666666,108,0.9242316603745317,0.7959183673469388,1.0,0.039212323186935225,0.07291666666666666,108,0.925914244485673,0.8469387755102041,0.99,0.03418044466941477
0.1,100,88,32,1.0,LG+G4,0.8905961549887078,0.7764705882352941,1.0,0.04471198253879273,0.26198308270676696,133,0.8893390457539225,0.7764705882352941,1.0,0.04505728901258564,0.26198308270676696,133,0.8845657999156636,0.8117647058823529,0.9591836734693877,0.043110398609461344
0.1,100,89,32,1.0,LG+G4,0.9229953288760012,0.7837837837837838,1.0,0.04045448111931343,0.07178217821782179,101,0.9229953288760012,0.7837837837837838,1.0,0.04045448111931343,0.07178217821782179,101,0.9174967480849835,0.8243243243243243,0.97,0.04092127783733049
0.1,100,90,32,1.0,LG+G4,0.9421240632284168,0.8214285714285714,1.0,0.03592298602489876,0.07301401869158877,107,0.9415202236088313,0.8214285714285714,1.0,0.036669666073293104,0.07301401869158877,107,0.9407561299225513,0.865979381443299,0.98989898989899,0.041111924388801326
0.1,100,91,32,1.0,LG+G4,0.9066335309111134,0.813953488372093,1.0,0.04040666272211344,0.20461309523809523,126,0.9061467008014853,0.8023255813953488,1.0,0.041015009527454356,0.20461309523809523,126,0.8961548821548823,0.8484848484848485,0.9595959595959596,0.02828748077814921
0.1,100,92,32,1.0,LG+G4,0.9025440173947765,0.782051282051282,1.0,0.044759649355999305,0.33656832298136646,161,0.9018307907462444,0.7238095238095238,1.0,0.04636273945602487,0.2530594405594405,143,0.9072009363889264,0.8160919540229885,0.9891304347826086,0.049893569468628364
0.1,100,93,32,1.0,LG+G4,0.9263269555133882,0.85,1.0,0.03638969355459529,0.18898809523809523,126,0.9263269555133882,0.85,1.0,0.03638969355459529,0.18898809523809523,126,0.9245319865319865,0.87,0.99,0.03273608117456707
0.1,100,94,32,1.0,LG+G4,0.9096886538368394,0.7837837837837838,1.0,0.043887749232656,0.12784090909090912,110,0.9082785827738488,0.7837837837837838,1.0,0.04435522568989285,0.11983944954128439,109,0.9152023423131019,0.8205128205128205,0.99,0.04464714162766145
0.1,100,95,32,1.0,LG+G4,0.9370554941590763,0.8469387755102041,1.0,0.031819743725287605,0.1565148305084746,118,0.9370554941590763,0.8469387755102041,1.0,0.031819743725287605,0.1565148305084746,118,0.9361915584415584,0.8775510204081632,0.9895833333333334,0.03336312695672724
0.1,100,96,32,1.0,LG+G4,0.9140251840244186,0.810126582278481,1.0,0.03867907778969108,0.44388812154696133,181,0.9127394023671642,0.7974683544303798,1.0,0.039399072963870664,0.44079861111111107,180,0.9278227693509661,0.8484848484848485,0.979381443298969,0.04296419143303961
